Date,Shift Member Name,Blocked IP Address,Reason for Blocking,Time of Blocking,Approval Status,Remarks/Additional Notes,Abusive Percentage(AbuseIPDB),Status(Blocked / Pending)
YYYY-MM-DD,[Name],[IP Address],"[E.g., Malicious Activity]",HH:MM AM/PM,,[Notes or follow-up actions],,
02-09-2026,Prathamesh Pendkar,199.96.165.116,MyridWeb LLC,5:20:00 AM,Approved,NA,22,Blocked
02-09-2026,Prathamesh Pendkar,216.40.73.120,PureKernel LLC,5:20:00 AM,Approved,NA,21,Blocked
02-09-2026,Prathamesh Pendkar,193.233.219.148,Quality Network US LLC,5:20:00 AM,Approved,NA,21,Blocked
02-09-2026,Prathamesh Pendkar,212.87.216.108,FINE GROUP SERVERS SOLUTIONS LLC,5:20:00 AM,Approved,NA,22,Blocked
02-10-2025,Varad Mene,171.78.174.103,"AIRTELBROADBAND-AS-AP Bharti Airtel Ltd., Telemedia Services",12:01:00 PM,Blocked,NA,0,Blocked
02-10-2025,Tanmay Kudale,101.36.119.97,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,21:06PM,Pending,NA,3,Pending
02-10-2025,Tanmay Kudale,118.193.47.230,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,21:06PM,Pending,NA,3,Pending
02-10-2025,Shivangi Soni,51.75.151.149,Cloudflare.IP,5:20:00 AM,Approved,NA,100,Blocked
02-10-2025,Shivangi Soni, 98.142.247.13,Cloudflare.IP,5:20:00 AM,Approved,NA,21,Blocked
02-11-2025,Harsh Navgale,20.208.32.128,Cloudflare.IP,11:30:00 AM,Approved,NA,100,Approved
02-12-2025,Harsh Navgale,158.158.49.160,Cloudflare.IP,11:30:00 AM,Approved,NA,100,Approved
02-13-2025,Harsh Navgale,45.157.54.18,Cloudflare.IP,11:30:00 AM,Approved,NA,100,Approved
02-14-2025,Harsh Navgale,122.180.244.204,Cloudflare.IP,11:30:00 AM,Approved,NA,0,Blocked
02-15-2025,Harsh Navgale,122.169.87.105,Cloudflare.IP,11:30:00 AM,Approved,NA,0,Approved
02-16-2025,Harsh Navgale,83.147.19.246,Cloudflare.IP,11:30:00 AM,Approved,NA,38,Approved
02-11-2026,Tejas Kulkarni,160.179.71.108,Cloudflare.IP,8:13:00 PM,Approved,NA,26,Blocked
02-11-2026,Tejas Kulkarni,122.169.87.105,Cloudflare.IP,8:13:00 PM,Approved,NA,0,Blocked
02-12-2026,Harsh Navgale,185.199.157.2,Cloudflare.IP,1:36:00 PM,Approved,NA,55,Pending
02-12-2026,Harsh Navgale,152.32.214.234,Cloudflare.IP,1:36:00 PM,Approved,NA,0,Pending
02-12-2026,Puniyat Jangir,52.160.166.64,Cloudflare.IP,1:36:00 PM,Pending,NA,0,Pending
02-12-2025,Tanmay Kudale,103.78.195.193,Cloudflare.IP,7:24:00 PM,Pending,NA,100,Pending
02-12-2025,Tanmay Kudale,157.20.32.166,Cloudflare.IP,7:24:00 PM,Pending,NA,100,Pending
02-12-2025,Tanmay Kudale,188.166.210.237,Cloudflare.IP,7:24:00 PM,Pending,NA,100,Pending
